"path","category","review_scope","disposition","notable_result"
"services/execution_sidecar/state_store.py","Execution","SQLite schema intents trades authenticated events replay and atomic parent/child transitions","REVIEWED","Persists before network effects; replays early events; treats EXPIRED_IN_MATCH as terminal; supports crash-safe replacement recovery."
"services/execution_sidecar/user_data_stream.py","Execution","Signed Binance Spot WebSocket API user stream","REVIEWED; TESTNET RUN BLOCKED","Uses current signature subscription and synchronized gateway timestamp; rejected or terminated subscriptions close for reconnect."
"services/moneyflow/__init__.py","Moneyflow","Package marker","REVIEWED","No runtime logic."
"services/moneyflow/analytics.py","Moneyflow","Depth taker pressure closed-candle timeframe and flow classification","REVIEWED","Rejects malformed/crossed/nonfinite/stale data and uses exact quote notional/taker semantics."
"services/moneyflow/client.py","Moneyflow","Public Spot and exact-symbol USD-M GET inventory","REVIEWED","No credentials or order endpoint; futures context is read-only."
"services/moneyflow/external_clients.py","Moneyflow","Fixed-identity Bitcoin-only CoinGecko and CoinMarketCap clients","CREATED; REVIEWED","Uses header-only keys bounded responses exact provider identity and the current CoinMarketCap v3 array schema; output is advisory only."
"services/moneyflow/external_context.py","Moneyflow","Durable provider quota reservation cache backoff and advisory publication","CREATED; REVIEWED","Caps calls at 96 percent of conservative free quotas reserves before dispatch and fails closed if initialized ledger state disappears."
"services/moneyflow/service.py","Moneyflow","Exact-pair polling publication health and degradation handling","REVIEWED; NETWORK RUN BLOCKED","Publishes seven timeframes and degrades/fails closed according to explicit policy."
"services/telegram_broker/__init__.py","Telegram","Package marker","REVIEWED","No runtime logic."
"services/telegram_broker/authorization.py","Telegram","Owner user plus private-chat authorization","REVIEWED","Rejects unauthorized updates before response or side effect."
"services/telegram_broker/bot.py","Telegram","Owner commands confirmations read-only self-audit and final redaction","REVIEWED; REAL DELIVERY BLOCKED","Adds /audit for release health freshness pair intent and entries-off consistency using only files and GET ping; it never repairs or resumes; real delivery remains pending."
"services/telegram_broker/callbacks.py","Telegram","One-use callback issuance validation and exact cancellation","REVIEWED","Token-bound TTL prevents replay and cross-action cancellation."
"shared/audit/.gitkeep","Runtime scaffold","Audit directory placeholder","REVIEWED","Contains no evidence or secret; runtime data is generated outside immutable release where configured."
"shared/pair/active_pair.json","Runtime scaffold","Initial authoritative BTC pair state","REVIEWED","Schema pair symbol quote generation and hash form the initial BTC/USDT state."
"shared/pair/current_pairlist.json","Runtime scaffold","Initial RemotePairList projection","REVIEWED","One exact BTC pair projection must match active state before bootstrap."
"shared/pair/freqtrade-active.json","Runtime scaffold","Initial one-pair Freqtrade overlay","REVIEWED","Whitelist and blacklist projection must match active state generation/hash."
"shared/runtime/.gitkeep","Runtime scaffold","Runtime directory placeholder","REVIEWED","Contains no runtime evidence or secret."
"shared/signals/inbox/.gitkeep","Runtime scaffold","Signal inbox placeholder","REVIEWED","Signals are signed at runtime; placeholder is empty."
"shared/signals/processed/.gitkeep","Runtime scaffold","Processed signal archive placeholder","REVIEWED","Archive is bounded at runtime; placeholder is empty."
"shared/signals/rejected/.gitkeep","Runtime scaffold","Rejected signal archive placeholder","REVIEWED","Archive is bounded at runtime; placeholder is empty."
"tests/secret_scan.py","Tests","High-confidence token and sensitive assignment scanner","REVIEWED","Accepts indirect shell variable references and rejects populated literal credentials."
"tests/test_2026_07_29_completion.py","Tests","Dynamic registry referencePrice package mode heartbeat pair-switch and Telegram completion regressions","CREATED; FINAL CORE GATE PASSED","Targets the final cross-cutting conversion and capital-safety seams."
"tests/test_binance_official_sources.py","Tests","Price range STP timing signing and public archive regressions","CREATED; FINAL CORE GATE PASSED","Sixteen deterministic tests cover the adopted official-source changes without authenticated orders."
"tests/test_control_and_flow.py","Tests","Envelope moneyflow Telegram strategy compose and deployment controls","REVIEWED; FINAL CORE GATE PASSED","Includes read-only healthy/fail-closed Telegram self-audit and root-approved self-hosted workflow policy alongside prior Bitcoin-only controls."
"tests/test_deployment_identity.py","Tests","Exact synthetic stack identity failure injection","REVIEWED; FINAL CORE GATE PASSED","Covers wrong/unhealthy containers and service drift without claiming live Docker proof."
"tests/test_env_file_parser.py","Tests","Privileged configuration-parsing injection regressions","REVIEWED","Covers twelve literal injection payloads, process-control variable rejection, exact template allowlisting, duplicate/unmatched-quote/CRLF/malformed-key failures and the root-only Oracle ownership contract. Also asserts the installers never regain a configuration 'source' and that inlined parser copies match the canonical library."
"tests/test_execution_safety.py","Tests","Pair intent ambiguity reconciliation protection crash platform durability and emergency safety","REVIEWED; FINAL CORE GATE PASSED","Covers current high-risk state-machine and Windows directory-fsync fixes; real exchange races remain external."
"tests/test_external_market_context.py","Tests","Provider schema quota concurrency state-loss cache and degradation","CREATED; FINAL CORE GATE PASSED","Includes CoinMarketCap v3 response shape and durable quota reset protection."
"tests/test_live_evidence.py","Tests","Signature expiry tamper policy byte metric and strategy binding","REVIEWED; FINAL CORE GATE PASSED","Proves fail-closed parser behavior with synthetic evidence not operational assertions."
"tests/test_oracle_hardening_2026_08_13.py","Tests","Oracle A1 Docker privileges identity monitoring resource backup diagnostic and namespace regressions","CREATED; LOCAL TESTS PASSED","Statically enforces the 13 August infrastructure controls while pinning the protected strategy full-file hash."
"tests/test_repository_hygiene.py","Tests","Git round-trip and systemd-context regressions","REVIEWED","Fails if .gitattributes is dropped, if any release file gains CRLF, if the blanket systemd exception returns, if hardening directives are removed, or if the executable set drifts from the reviewed inventory."
"tests/test_secret_scan.py","Tests","Scanner false-positive and true-positive regression","REVIEWED; FINAL CORE GATE PASSED","Covers shell-variable indirection and literal secret rejection."
"tests/test_strategy_probe.py","Strategy tests","Host-side wrapper for protected Freqtrade strategy probe","PORTED; FINAL CORE GATE PASSED","Retains protected signal-method fingerprints and prevents silent entry-gate drift."
